PROVINCE,region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
Bohol,Region VII,2.8125,2.9682539682539684,3.1875,3.140625,0.2956619718309859,-0.014036666666666694,0.4763679012345679,0.22653874999999996,0.4855925925925926,-0.14732962962962964,1.0379344262295083,62.602409638554214,1.4819277108433735,10.120481927710843
Cebu,Region VII,2.99388379204893,3.027863777089783,3.111455108359133,3.1578947368421053,0.24393945783132528,0.15155437499999996,0.33185000000000003,0.07260176470588234,0.25348497109826595,-0.300614161849711,1.177008722741433,75.99431818181819,18.321022727272727,0.14444444444444443
Siquijor,Region VII,2.88,3.0384615384615383,2.8,2.84,0.3385035714285714,-0.022828000000000025,0.32051851851851854,0.37859629629629626,0.36964814814814817,-0.5280777777777778,0.92164,90.0,0.0,
