PROVINCE,region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
Cagayan,Region II,2.537037037037037,2.707547169811321,2.641509433962264,2.7196261682242993,0.0888920792079208,-0.20154112149532713,0.21498584070796461,0.06955565217391303,0.11883596491228071,-0.35606403508771933,1.3413833333333334,76.73728813559322,10.271186440677965,0.3474576271186441
Isabela,Region II,3.018181818181818,2.9107142857142856,3.0754716981132075,3.0727272727272728,0.25426363636363636,0.2057611111111111,0.40262000000000003,0.07492777777777776,0.06614181818181819,-0.2760482142857143,1.341453846153846,65.73214285714286,20.339285714285715,4.428571428571429
Nueva Vizcaya,Region II,3.074074074074074,3.36,3.52,3.36,0.4399636363636364,0.1261333333333333,0.8732558823529412,0.20826944444444442,0.4734055555555556,0.18711388888888889,1.0874148148148148,98.0,1.0,0.0
Quirino,Region II,2.6666666666666665,2.966666666666667,3.1333333333333333,3.2333333333333334,0.232869696969697,0.2702566666666666,0.4955707317073171,0.4367292682926829,0.390404761904762,-0.3101390243902439,1.6623266666666665,80.0,5.0,5.0
