PROVINCE,region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
"NCR, City of Manila, First District",National Capital Region,3.068548387096774,3.1951219512195124,3.1088709677419355,3.2672064777327936,0.32661699604743083,0.3879983805668016,0.4093715953307393,0.3483328125,0.23046374045801526,-0.19806015325670498,1.2483426229508197,89.36764705882354,10.1875,0.5625
"NCR, Fourth District",National Capital Region,2.994186046511628,3.1597633136094676,3.1695906432748537,3.210526315789474,0.27679942528735635,0.14908411764705878,0.4014926553672316,0.34572914285714285,0.2404857142857143,-0.2851463687150838,1.3654309090909091,95.71428571428571,4.0,0.0
"NCR, Second District",National Capital Region,3.28125,3.418918918918919,3.4910714285714284,3.475336322869955,0.496209009009009,0.27432678571428565,0.31332977777777776,0.23382612612612608,0.48573973214285715,-0.2535486607142857,0.8507,49.093333333333334,45.90222222222222,3.062222222222222
"NCR, Third District",National Capital Region,2.967391304347826,3.151351351351351,3.169398907103825,3.17032967032967,0.23978518518518518,0.1825060109289617,0.5174602040816326,0.2691853403141361,0.1766776649746193,-0.17108643216080402,1.4813917582417582,80.85,14.571428571428571,3.9
