PROVINCE,region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
Lanao del Norte,Negros Island Region,3.3333333333333335,3.515151515151515,3.3333333333333335,3.4545454545454546,0.6568027777777777,0.3447,0.007495238095238105,0.13460714285714284,0.7589595238095238,-0.1400261904761905,1.007971875,,100.0,
Negros Occidental,Negros Island Region,2.834319526627219,2.9941176470588236,2.9881656804733727,3.0414201183431953,0.20024325842696628,0.009674251497005959,0.34443214285714285,0.2409299492385787,0.11820561224489796,-0.3022766169154229,1.3158075,84.05797101449275,3.9855072463768115,2.4347826086956523
Negros Oriental,Negros Island Region,2.772727272727273,2.9545454545454546,2.878787878787879,2.925373134328358,0.40192835820895517,0.29221363636363634,0.5963528571428571,0.2794304347826087,0.43946197183098595,-0.019462500000000018,1.3002112903225806,63.89041095890411,2.3013698630136985,2.0
