PROVINCE,region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
Bukidnon,Region X,2.6341463414634148,2.8292682926829267,2.951219512195122,2.926829268292683,0.15736708860759493,0.06563037974683542,0.387975,0.28748974358974355,0.13612962962962963,-0.37063703703703704,1.1979524390243903,97.5,1.5,0.0
Camiguin,Region X,2.769230769230769,2.769230769230769,2.814814814814815,2.925925925925926,0.04792142857142856,-0.10695555555555557,0.4903277777777778,0.22141388888888888,0.2799891891891892,-0.49982162162162164,1.6896318181818182,100.0,0.0,0.0
Misamis Oriental,Region X,3.326923076923077,3.3773584905660377,3.4615384615384617,3.52,0.39589523809523813,0.5023795918367346,0.39926184210526316,0.39287402597402593,0.09648783783783785,0.2747578947368421,1.1578132075471699,95.0,8.0,
