PROVINCE,region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
Abra,Cordillera Administrative Region,3.0476190476190474,3.1904761904761907,3.15,3.2,0.27642307692307694,0.45793684210526314,0.5730153846153846,0.4433705882352941,-0.07401794871794873,-0.36003235294117647,1.6267190476190474,69.0,31.0,0.0
Benguet,Cordillera Administrative Region,3.275,3.4,3.525,3.4,0.6158625,0.2322564102564102,0.5052,0.51007,0.2936641025641026,-0.03109750000000002,1.110907894736842,95.0,,5.0
Ifugao,Cordillera Administrative Region,3.0,3.027027027027027,3.189189189189189,3.25,-0.0290972972972973,-0.23023611111111114,0.30618684210526315,-0.2992578947368421,-0.04868421052631579,-0.40355384615384615,1.309825,100.0,0.0,0.0
