PROVINCE,region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
Albay,Region V,2.728395061728395,2.8625,2.8518518518518516,2.8734177215189876,0.0946825,0.02852405063291136,0.18546913580246913,0.023724358974358973,0.013920512820512819,-0.3578530864197531,1.4982421052631578,74.01234567901234,5.950617283950617,1.0
Camarines Sur,Region V,2.925619834710744,3.0578512396694215,3.074380165289256,3.033333333333333,0.2120421487603306,0.20007948717948715,0.5117194915254237,0.09346033057851239,0.2960355371900827,-0.40573495934959347,1.3311521367521368,80.2439024390244,13.341463414634147,0.0
Catanduanes,Region V,2.8518518518518516,2.9625,2.962962962962963,2.950617283950617,0.10764500000000002,-0.026424358974359005,0.38450379746835445,0.21799358974358973,0.23598024691358024,-0.4287185185185185,1.3515088607594936,75.0,1.951219512195122,2.5609756097560976
Masbate,Region V,3.072463768115942,2.9857142857142858,3.1029411764705883,3.0869565217391304,0.1902808219178082,0.20062428571428567,0.44190389610389613,0.3326526315789473,0.12049102564102565,-0.3618253164556962,1.548485294117647,89.46913580246914,0.9876543209876543,0.49382716049382713
Sorsogon,Region V,2.784313725490196,2.911764705882353,3.0,2.98,0.008483000000000011,0.0052769999999999805,0.3119128712871287,0.20212599999999997,-0.007585148514851481,-0.079580198019802,1.3541103092783506,83.05084745762711,10.677966101694915,1.8644067796610169
