PROVINCE,region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
Biliran,Region VIII,3.0476190476190474,3.0681818181818183,3.0,3.186046511627907,0.3971734693877551,0.40268292682926826,0.42816338028169015,0.24662142857142852,0.30299027777777776,-0.25956417910447765,0.9649878048780488,65.14102564102564,15.76923076923077,7.884615384615385
Leyte,Region VIII,3.073394495412844,3.238532110091743,3.240740740740741,3.2454545454545456,0.11045454545454546,0.09593177570093454,0.1179171052631579,0.007095270270270256,0.18566928104575164,-0.2586209459459459,1.1660644859813085,93.44848484848485,5.054545454545455,0.0
Northern Samar,Region VIII,2.5128205128205128,2.8947368421052633,2.810810810810811,2.7948717948717947,0.08719210526315792,-0.3125918918918919,0.05012894736842105,0.017181081081081073,-0.0006947368421052582,-0.513335,1.2047555555555556,95.0,0.0,2.0
Samar,Region VIII,,,,,,,0.6929714285714285,0.7442333333333333,-0.19795714285714286,-0.11018333333333334,,100.0,0.0,0.0
Southern Leyte,Region VIII,2.6944444444444446,2.7714285714285714,2.8055555555555554,2.8333333333333335,0.10186486486486486,-0.28918055555555555,0.057329268292682936,-0.11572926829268293,0.1799658536585366,-0.44557560975609756,1.11342,75.0,15.0,0.0
