PROVINCE,region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
Aurora,Region III,2.7142857142857144,3.0952380952380953,2.9047619047619047,3.05,0.273656,0.145847619047619,0.40981944444444446,0.2632558823529412,0.03455,-0.5088441176470588,0.7637695652173914,80.0,10.0,
Bataan,Region III,2.9557522123893807,3.1769911504424777,3.1607142857142856,3.150442477876106,0.17256725663716813,0.18045688073394492,0.32139026548672567,0.3590017857142857,0.228229203539823,-0.313112389380531,1.295249090909091,71.41592920353982,27.68141592920354,0.9026548672566371
Bulacan,Region III,3.018348623853211,3.0972222222222223,3.144186046511628,3.116279069767442,0.3244345454545455,0.28524619047619043,0.5113000000000001,0.40783659574468084,0.2218531914893617,-0.21889789029535867,1.2685168269230769,81.95833333333333,15.870646766169154,0.0
La Union,Region III,3.1842105263157894,3.289473684210526,3.1842105263157894,3.3684210526315788,0.2309736842105263,0.45547837837837835,1.0376589743589744,0.4759333333333333,0.1816871794871795,-0.1931575,1.0729972972972972,99.0,0.0,0.0
Nueva Ecija,Region III,2.8762886597938144,2.979381443298969,3.020408163265306,2.9381443298969074,0.1466362745098039,0.003746874999999964,0.34591071428571435,0.2688145454545454,0.0032552631578947446,-0.41168750000000004,1.2797074468085108,55.932203389830505,36.94915254237288,3.559322033898305
Pampanga,Region III,2.8844444444444446,3.0,2.963963963963964,3.03125,0.23196853448275861,0.31227808219178077,0.5082991803278689,0.5102885593220339,-0.07348677685950412,-0.09702909836065575,1.343760930232558,82.90725806451613,10.338709677419354,1.4271844660194175
Zambales,Region III,2.9743589743589745,3.1794871794871793,3.0259740259740258,3.2051282051282053,0.3441025,0.36567792207792205,0.4874072289156626,0.21941341463414632,0.1399926829268293,-0.15836265060240964,0.8608855263157895,79.25301204819277,19.228915662650603,0.0
