PROVINCE,region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
Marinduque,Region IV-B,2.6842105263157894,2.945945945945946,2.973684210526316,3.026315789473684,0.31445384615384614,0.25088421052631577,0.4367365853658537,0.5763923076923076,0.07737073170731708,-0.32606341463414634,1.613488888888889,90.0,,
Oriental Mindoro,Region IV-B,3.075,3.025,3.125,3.128205128205128,0.010754054054054064,0.32089999999999996,0.4822875,0.2522,0.09350256410256409,-0.10496500000000002,1.465425641025641,83.0,12.0,
Palawan,Region IV-B,2.8795180722891565,3.0365853658536586,2.891566265060241,2.9397590361445785,0.29321650485436895,0.2356111111111111,0.3574704225352113,0.1589870503597122,0.09434344827586208,-0.27445839416058393,1.4132795180722892,79.26875,9.95625,2.73125
