PROVINCE,region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
Cotabato,Region XII,2.5,2.7551020408163267,2.7142857142857144,2.836734693877551,0.17099795918367347,0.20903333333333332,0.36981400000000003,0.4539326086956521,0.4088659574468085,-0.42015,1.5447787234042554,77.8,6.6,7.8
Davao Occidental,Region XII,2.8536585365853657,3.097560975609756,2.8292682926829267,2.8292682926829267,0.183945,0.12400249999999997,0.6269024390243902,0.3066578947368421,0.0424025,-0.40109512195121955,1.597735,92.0,6.0,1.0
South Cotabato,Region XII,2.673758865248227,2.8098591549295775,2.7357142857142858,2.8098591549295775,0.04484225352112676,-0.21207928571428572,0.17422689655172416,0.0789078014184397,0.0002258741258741336,-0.3372727891156463,1.3691085714285716,74.41610738255034,16.563758389261746,0.6942148760330579
Sultan Kudarat,Region XII,2.45,2.6923076923076925,2.7,2.8421052631578947,-0.08736153846153848,-0.2153820512820513,0.3121105263157895,0.26243684210526314,-0.04170769230769229,-0.44320250000000005,1.508663888888889,93.0,6.0,0.0
