PROVINCE,region,ST207Q01HA,ST207Q02HA,ST207Q03HA,ST207Q04HA,PERCOMP,PERCOOP,EUDMO,SWBP,GFOFAIL,BELONG,BEINGBULLIED,SC016Q01TA,SC016Q02TA,SC016Q04TA
Davao Occidental,Region XI,2.7,2.948717948717949,2.7435897435897436,2.9743589743589745,0.28115,0.3023052631578947,0.5540119047619048,0.49721025641025635,0.25018809523809526,-0.19751904761904762,1.341371052631579,67.0,0.0,1.0
Davao Oriental,Region XI,2.625,2.8,2.8,2.8,0.09990500000000001,-0.06466585365853662,0.2398923076923077,0.16574999999999998,0.05360526315789473,-0.5090707317073171,0.9601615384615385,80.0,15.0,0.0
Davao de Oro,Region XI,2.8,3.0,3.05,3.025,0.1332275,0.10368684210526313,0.2526925,0.2643837837837838,0.003158974358974367,-0.32497,1.20866,100.0,0.0,0.0
Davao del Norte,Region XI,3.054054054054054,3.0833333333333335,3.0277777777777777,3.108108108108108,0.4661756756756757,0.6017416666666666,0.7428736842105262,0.5481405405405405,0.22745128205128204,0.16196410256410254,1.4814083333333334,70.0,20.0,0.0
Davao del Sur,Region XI,3.03680981595092,3.1533742331288344,3.1097560975609757,3.0920245398773005,0.3721335294117647,0.17500674846625763,0.49541954022988505,0.27842958579881655,0.18530342857142856,-0.38493085714285713,1.1416583850931679,81.93888888888888,14.61111111111111,1.7166666666666666
